Date,PX Open,PX Last
2014-10-01,196.6999969482422,194.35000610351562
2014-10-02,194.17999267578125,194.3800048828125
2014-10-03,195.67999267578125,196.52000427246094
2014-10-06,197.33999633789062,196.2899932861328
2014-10-07,195.27999877929688,193.25999450683594
2014-10-08,193.3699951171875,196.63999938964844
2014-10-09,196.3300018310547,192.74000549316406
2014-10-10,192.69000244140625,190.5399932861328
2014-10-13,190.4600067138672,187.41000366210938
2014-10-14,188.4199981689453,187.6999969482422
2014-10-15,185.16000366210938,186.42999267578125
2014-10-16,183.05999755859375,186.27000427246094
2014-10-17,188.4199981689453,188.47000122070312
2014-10-20,188.1300048828125,190.3000030517578
2014-10-21,191.67999267578125,194.07000732421875
2014-10-22,194.41000366210938,192.69000244140625
2014-10-23,194.6199951171875,194.92999267578125
2014-10-24,195.25,196.42999267578125
2014-10-27,195.72999572753906,196.16000366210938
2014-10-28,196.82000732421875,198.41000366210938
2014-10-29,198.5500030517578,198.11000061035156
2014-10-30,197.5800018310547,199.3800048828125
2014-10-31,201.77999877929688,201.66000366210938
2014-11-03,201.9199981689453,201.77000427246094
2014-11-04,201.22999572753906,201.07000732421875
2014-11-05,202.5399932861328,202.33999633789062
2014-11-06,202.38999938964844,203.14999389648438
2014-11-07,203.1699981689453,203.33999633789062
2014-11-10,203.3800048828125,203.97999572753906
2014-11-11,204.05999755859375,204.17999267578125
2014-11-12,203.35000610351562,203.9600067138672
2014-11-13,204.16000366210938,204.19000244140625
2014-11-14,204.10000610351562,204.24000549316406
2014-11-17,203.85000610351562,204.3699951171875
2014-11-18,204.44000244140625,205.5500030517578
2014-11-19,205.30999755859375,205.22000122070312
2014-11-20,204.25999450683594,205.5800018310547
2014-11-21,207.63999938964844,206.67999267578125
2014-11-24,207.1699981689453,207.25999450683594
2014-11-25,207.5399932861328,207.11000061035156
2014-11-26,207.2899932861328,207.63999938964844
2014-11-28,207.49000549316406,207.1999969482422
2014-12-01,206.39999389648438,205.75999450683594
2014-12-02,205.80999755859375,207.08999633789062
2014-12-03,207.3000030517578,207.88999938964844
2014-12-04,207.5399932861328,207.66000366210938
2014-12-05,207.8699951171875,208.0
2014-12-08,207.52000427246094,206.61000061035156
2014-12-09,204.3699951171875,206.47000122070312
2014-12-10,205.91000366210938,203.16000366210938
2014-12-11,203.8800048828125,204.19000244140625
2014-12-12,202.63999938964844,200.88999938964844
2014-12-15,201.97999572753906,199.50999450683594
2014-12-16,198.5800018310547,197.91000366210938
2014-12-17,198.44000244140625,201.7899932861328
2014-12-18,204.74000549316406,206.77999877929688
2014-12-19,206.42999267578125,206.52000427246094
2014-12-22,206.75,207.47000122070312
2014-12-23,208.1699981689453,207.75
2014-12-24,208.02000427246094,207.77000427246094
2014-12-26,208.30999755859375,208.44000244140625
2014-12-29,208.22000122070312,208.72000122070312
2014-12-30,208.2100067138672,207.60000610351562
2014-12-31,207.99000549316406,205.5399932861328
2015-01-02,206.3800048828125,205.42999267578125
2015-01-05,204.1699981689453,201.72000122070312
2015-01-06,202.08999633789062,199.82000732421875
2015-01-07,201.4199981689453,202.30999755859375
2015-01-08,204.00999450683594,205.89999389648438
2015-01-09,206.39999389648438,204.25
2015-01-12,204.41000366210938,202.64999389648438
2015-01-13,204.1199951171875,202.0800018310547
2015-01-14,199.64999389648438,200.86000061035156
2015-01-15,201.6300048828125,199.02000427246094
2015-01-16,198.77000427246094,201.6300048828125
2015-01-20,202.39999389648438,202.05999755859375
2015-01-21,201.5,203.0800018310547
2015-01-22,203.99000549316406,206.10000610351562
2015-01-23,205.7899932861328,204.97000122070312
2015-01-26,204.7100067138672,205.4499969482422
2015-01-27,202.97000122070312,202.74000549316406
2015-01-28,204.1699981689453,200.13999938964844
2015-01-29,200.3800048828125,201.99000549316406
2015-01-30,200.57000732421875,199.4499969482422
2015-02-02,200.0500030517578,201.9199981689453
2015-02-03,203.0,204.83999633789062
2015-02-04,203.9199981689453,204.05999755859375
2015-02-05,204.86000061035156,206.1199951171875
2015-02-06,206.55999755859375,205.5500030517578
2015-02-09,204.77000427246094,204.6300048828125
2015-02-10,205.8800048828125,206.80999755859375
2015-02-11,206.61000061035156,206.92999267578125
2015-02-12,207.88999938964844,208.9199981689453
2015-02-13,209.07000732421875,209.77999877929688
2015-02-17,209.39999389648438,210.11000061035156
2015-02-18,209.66000366210938,210.1300048828125
2015-02-19,209.41000366210938,209.97999572753906
2015-02-20,209.47999572753906,211.24000549316406
2015-02-23,210.94000244140625,211.2100067138672
2015-02-24,211.1199951171875,211.80999755859375
2015-02-25,211.66000366210938,211.6300048828125
2015-02-26,211.52000427246094,211.3800048828125
2015-02-27,211.25999450683594,210.66000366210938
2015-03-02,210.77999877929688,211.99000549316406
2015-03-03,211.47000122070312,211.1199951171875
2015-03-04,210.39999389648438,210.22999572753906
2015-03-05,210.6199951171875,210.4600067138672
2015-03-06,209.4199981689453,207.5
2015-03-09,207.74000549316406,208.36000061035156
2015-03-10,206.7100067138672,204.97999572753906
2015-03-11,205.2899932861328,204.5
2015-03-12,205.25999450683594,207.10000610351562
2015-03-13,206.77000427246094,205.8300018310547
2015-03-16,206.7100067138672,208.5800018310547
2015-03-17,207.69000244140625,207.9600067138672
2015-03-18,207.38999938964844,210.4600067138672
2015-03-19,209.9600067138672,209.5
2015-03-20,209.7100067138672,210.41000366210938
2015-03-23,210.4199981689453,210.0
2015-03-24,209.85000610351562,208.82000732421875
2015-03-25,209.07000732421875,205.75999450683594
2015-03-26,204.9600067138672,205.27000427246094
2015-03-27,205.1300048828125,205.74000549316406
2015-03-30,206.97999572753906,208.25
2015-03-31,207.25999450683594,206.42999267578125
2015-04-01,206.38999938964844,205.6999969482422
2015-04-02,205.6199951171875,206.44000244140625
2015-04-06,205.3699951171875,207.8300018310547
2015-04-07,207.86000061035156,207.27999877929688
2015-04-08,207.5500030517578,207.97999572753906
2015-04-09,207.77999877929688,208.89999389648438
2015-04-10,209.1999969482422,210.0399932861328
2015-04-13,209.8699951171875,209.08999633789062
2015-04-14,208.85000610351562,209.49000549316406
2015-04-15,210.0500030517578,210.42999267578125
2015-04-16,210.02999877929688,210.3699951171875
2015-04-17,208.94000244140625,207.9499969482422
2015-04-20,209.05999755859375,209.85000610351562
2015-04-21,210.6699981689453,209.60000610351562
2015-04-22,210.00999450683594,210.6300048828125
2015-04-23,210.14999389648438,211.16000366210938
2015-04-24,211.66000366210938,211.64999389648438
2015-04-27,212.3300018310547,210.77000427246094
2015-04-28,210.74000549316406,211.44000244140625
2015-04-29,210.3699951171875,210.57000732421875
2015-04-30,209.8800048828125,208.4600067138672
2015-05-01,209.39999389648438,210.72000122070312
2015-05-04,211.22999572753906,211.32000732421875
2015-05-05,211.02999877929688,208.89999389648438
2015-05-06,209.55999755859375,208.0399932861328
2015-05-07,207.9199981689453,208.8699951171875
2015-05-08,210.8800048828125,211.6199951171875
2015-05-11,211.57000732421875,210.61000061035156
2015-05-12,209.61000061035156,209.97999572753906
2015-05-13,210.47000122070312,210.02000427246094
2015-05-14,211.24000549316406,212.2100067138672
2015-05-15,212.44000244140625,212.44000244140625
2015-05-18,212.24000549316406,213.10000610351562
2015-05-19,213.24000549316406,213.02999877929688
2015-05-20,213.14999389648438,212.8800048828125
2015-05-21,212.7100067138672,213.5
2015-05-22,213.0399932861328,212.99000549316406
2015-05-26,212.39999389648438,210.6999969482422
2015-05-27,211.25,212.6999969482422
2015-05-28,212.3300018310547,212.4600067138672
2015-05-29,212.3800048828125,211.13999938964844
2015-06-01,211.94000244140625,211.57000732421875
2015-06-02,211.02000427246094,211.36000061035156
2015-06-03,212.0,211.9199981689453
2015-06-04,211.07000732421875,210.1300048828125
2015-06-05,209.9499969482422,209.77000427246094
2015-06-08,209.63999938964844,208.47999572753906
2015-06-09,208.4499969482422,208.4499969482422
2015-06-10,209.3699951171875,210.9499969482422
2015-06-11,211.47999572753906,211.6300048828125
2015-06-12,210.63999938964844,210.00999450683594
2015-06-15,208.63999938964844,209.11000061035156
2015-06-16,208.92999267578125,210.25
2015-06-17,210.58999633789062,210.58999633789062
2015-06-18,211.30999755859375,212.77999877929688
2015-06-19,211.4600067138672,210.80999755859375
2015-06-22,211.91000366210938,211.88999938964844
2015-06-23,212.13999938964844,212.0399932861328
2015-06-24,211.72000122070312,210.5
2015-06-25,211.10000610351562,209.86000061035156
2015-06-26,210.2899932861328,209.82000732421875
2015-06-29,208.0500030517578,205.4199981689453
2015-06-30,207.25999450683594,205.85000610351562
2015-07-01,207.72999572753906,207.5
2015-07-02,208.07000732421875,207.30999755859375
2015-07-06,205.77000427246094,206.72000122070312
2015-07-07,206.9600067138672,208.02000427246094
2015-07-08,206.4199981689453,204.52999877929688
2015-07-09,207.0399932861328,204.89999389648438
2015-07-10,207.2899932861328,207.47999572753906
2015-07-13,208.99000549316406,209.77000427246094
2015-07-14,209.72000122070312,210.67999267578125
2015-07-15,210.72999572753906,210.61000061035156
2015-07-16,211.8699951171875,212.3000030517578
2015-07-17,212.2899932861328,212.47999572753906
2015-07-20,212.75,212.58999633789062
2015-07-21,212.42999267578125,211.75
2015-07-22,210.92999267578125,211.3699951171875
2015-07-23,211.52999877929688,210.17999267578125
2015-07-24,210.3000030517578,208.0
2015-07-27,206.94000244140625,206.7899932861328
2015-07-28,207.7899932861328,209.3300018310547
2015-07-29,209.47999572753906,210.77000427246094
2015-07-30,210.16000366210938,210.82000732421875
2015-07-31,211.4199981689453,210.5
2015-08-03,210.4600067138672,209.7899932861328
2015-08-04,209.6999969482422,209.3800048828125
2015-08-05,210.4499969482422,210.07000732421875
2015-08-06,210.2899932861328,208.35000610351562
2015-08-07,208.16000366210938,207.9499969482422
2015-08-10,209.27999877929688,210.57000732421875
2015-08-11,208.97000122070312,208.6699981689453
2015-08-12,207.11000061035156,208.9199981689453
2015-08-13,208.72999572753906,208.66000366210938
2015-08-14,208.42999267578125,209.4199981689453
2015-08-17,208.7100067138672,210.58999633789062
2015-08-18,210.25999450683594,209.97999572753906
2015-08-19,209.08999633789062,208.32000732421875
2015-08-20,206.50999450683594,203.97000122070312
2015-08-21,201.72999572753906,197.8300018310547
2015-08-24,187.49000549316406,189.5
2015-08-25,195.42999267578125,187.27000427246094
2015-08-26,192.0800018310547,194.4600067138672
2015-08-27,197.02000427246094,199.27000427246094
2015-08-28,198.5,199.27999877929688
2015-08-31,198.11000061035156,197.6699981689453
2015-09-01,193.1199951171875,191.77000427246094
2015-09-02,194.6199951171875,195.41000366210938
2015-09-03,196.25999450683594,195.5500030517578
2015-09-04,192.85000610351562,192.58999633789062
2015-09-08,195.94000244140625,197.42999267578125
2015-09-09,199.32000732421875,194.7899932861328
2015-09-10,194.55999755859375,195.85000610351562
2015-09-11,195.3800048828125,196.74000549316406
2015-09-14,196.9499969482422,196.00999450683594
2015-09-15,196.61000061035156,198.4600067138672
2015-09-16,198.82000732421875,200.17999267578125
2015-09-17,200.02000427246094,199.72999572753906
2015-09-18,195.7100067138672,195.4499969482422
2015-09-21,196.44000244140625,196.4600067138672
2015-09-22,193.8800048828125,193.91000366210938
2015-09-23,194.11000061035156,193.60000610351562
2015-09-24,192.14999389648438,192.89999389648438
2015-09-25,194.63999938964844,192.85000610351562
2015-09-28,191.77999877929688,188.00999450683594
2015-09-29,188.27000427246094,188.1199951171875
2015-09-30,190.3699951171875,191.6300048828125
2015-10-01,192.0800018310547,192.1300048828125
2015-10-02,189.77000427246094,195.0
2015-10-05,196.4600067138672,198.47000122070312
2015-10-06,198.30999755859375,197.7899932861328
2015-10-07,198.89999389648438,199.41000366210938
2015-10-08,198.9499969482422,201.2100067138672
2015-10-09,201.3800048828125,201.3300018310547
2015-10-12,201.4199981689453,201.52000427246094
2015-10-13,200.64999389648438,200.25
2015-10-14,200.17999267578125,199.2899932861328
2015-10-15,200.0800018310547,202.35000610351562
2015-10-16,202.8300018310547,203.27000427246094
2015-10-19,202.5,203.3699951171875
2015-10-20,202.85000610351562,203.11000061035156
2015-10-21,203.61000061035156,201.85000610351562
2015-10-22,202.97999572753906,205.25999450683594
2015-10-23,207.25,207.50999450683594
2015-10-26,207.3000030517578,207.0
2015-10-27,206.1999969482422,206.60000610351562
2015-10-28,207.0,208.9499969482422
2015-10-29,208.35000610351562,208.8300018310547
2015-10-30,209.05999755859375,207.92999267578125
2015-11-02,208.32000732421875,210.38999938964844
2015-11-03,209.97000122070312,211.0
2015-11-04,211.35000610351562,210.36000061035156
2015-11-05,210.42999267578125,210.14999389648438
2015-11-06,209.74000549316406,210.0399932861328
2015-11-09,209.30999755859375,208.0800018310547
2015-11-10,207.50999450683594,208.55999755859375
2015-11-11,208.8800048828125,207.74000549316406
2015-11-12,206.5,204.83999633789062
2015-11-13,204.35000610351562,202.5399932861328
2015-11-16,202.32000732421875,205.6199951171875
2015-11-17,205.99000549316406,205.47000122070312
2015-11-18,206.0399932861328,208.72999572753906
2015-11-19,208.58999633789062,208.5500030517578
2015-11-20,209.4499969482422,209.30999755859375
2015-11-23,209.3800048828125,209.07000732421875
2015-11-24,207.8699951171875,209.35000610351562
2015-11-25,209.5,209.32000732421875
2015-11-27,209.42999267578125,209.55999755859375
2015-11-30,209.75,208.69000244140625
2015-12-01,209.44000244140625,210.67999267578125
2015-12-02,210.6199951171875,208.52999877929688
2015-12-03,208.8300018310547,205.61000061035156
2015-12-04,205.61000061035156,209.6199951171875
2015-12-07,209.22999572753906,208.35000610351562
2015-12-08,206.49000549316406,206.9499969482422
2015-12-09,206.19000244140625,205.33999633789062
2015-12-10,205.4199981689453,205.8699951171875
2015-12-11,203.35000610351562,201.8800048828125
2015-12-14,202.07000732421875,202.89999389648438
2015-12-15,204.6999969482422,205.02999877929688
2015-12-16,206.3699951171875,208.02999877929688
2015-12-17,208.39999389648438,204.86000061035156
2015-12-18,202.77000427246094,200.02000427246094
2015-12-21,201.41000366210938,201.6699981689453
2015-12-22,202.72000122070312,203.5
2015-12-23,204.69000244140625,206.02000427246094
2015-12-24,205.72000122070312,205.67999267578125
2015-12-28,204.86000061035156,205.2100067138672
2015-12-29,206.50999450683594,207.39999389648438
2015-12-30,207.11000061035156,205.92999267578125
2015-12-31,205.1300048828125,203.8699951171875
2016-01-04,200.49000549316406,201.02000427246094
2016-01-05,201.39999389648438,201.36000061035156
2016-01-06,198.33999633789062,198.82000732421875
2016-01-07,195.3300018310547,194.0500030517578
2016-01-08,195.19000244140625,191.9199981689453
2016-01-11,193.00999450683594,192.11000061035156
2016-01-12,193.82000732421875,193.66000366210938
2016-01-13,194.4499969482422,188.8300018310547
2016-01-14,189.5500030517578,191.92999267578125
2016-01-15,186.77000427246094,187.80999755859375
2016-01-19,189.9600067138672,188.05999755859375
2016-01-20,185.02999877929688,185.64999389648438
2016-01-21,186.2100067138672,186.69000244140625
2016-01-22,189.77999877929688,190.52000427246094
2016-01-25,189.9199981689453,187.63999938964844
2016-01-26,188.4199981689453,190.1999969482422
2016-01-27,189.5800018310547,188.1300048828125
2016-01-28,189.9600067138672,189.11000061035156
2016-01-29,190.02000427246094,193.72000122070312
2016-02-01,192.52999877929688,193.64999389648438
2016-02-02,191.9600067138672,190.16000366210938
2016-02-03,191.41000366210938,191.3000030517578
2016-02-04,190.7100067138672,191.60000610351562
2016-02-05,190.99000549316406,187.9499969482422
2016-02-08,185.77000427246094,185.4199981689453
2016-02-09,183.36000061035156,185.42999267578125
2016-02-10,186.41000366210938,185.27000427246094
2016-02-11,182.33999633789062,182.86000061035156
2016-02-12,184.9600067138672,186.6300048828125
2016-02-16,188.77000427246094,189.77999877929688
2016-02-17,191.16000366210938,192.8800048828125
2016-02-18,193.1999969482422,192.08999633789062
2016-02-19,191.1699981689453,192.0
2016-02-22,193.8699951171875,194.77999877929688
2016-02-23,194.0,192.32000732421875
2016-02-24,190.6300048828125,193.1999969482422
2016-02-25,193.72999572753906,195.5399932861328
2016-02-26,196.57000732421875,195.08999633789062
2016-02-29,195.11000061035156,193.55999755859375
2016-03-01,195.00999450683594,198.11000061035156
2016-03-02,197.74000549316406,199.0
2016-03-03,198.7899932861328,199.77999877929688
2016-03-04,200.00999450683594,200.42999267578125
2016-03-07,199.33999633789062,200.58999633789062
2016-03-08,199.32000732421875,198.39999389648438
2016-03-09,199.36000061035156,199.3800048828125
2016-03-10,199.9600067138672,199.5399932861328
2016-03-11,201.25999450683594,202.75999450683594
2016-03-14,202.16000366210938,202.5
2016-03-15,201.36000061035156,202.1699981689453
2016-03-16,201.60000610351562,203.33999633789062
2016-03-17,203.24000549316406,204.6300048828125
2016-03-18,204.1699981689453,204.3800048828125
2016-03-21,204.07000732421875,204.6699981689453
2016-03-22,203.75999450683594,204.55999755859375
2016-03-23,204.11000061035156,203.2100067138672
2016-03-24,202.0,203.1199951171875
2016-03-28,203.61000061035156,203.24000549316406
2016-03-29,202.75999450683594,205.1199951171875
2016-03-30,206.3000030517578,206.02000427246094
2016-03-31,205.91000366210938,205.52000427246094
2016-04-01,204.35000610351562,206.9199981689453
2016-04-04,206.8300018310547,206.25
2016-04-05,204.6699981689453,204.19000244140625
2016-04-06,204.19000244140625,206.4199981689453
2016-04-07,205.13999938964844,203.9499969482422
2016-04-08,205.33999633789062,204.5
2016-04-11,205.25,204.02000427246094
2016-04-12,204.22000122070312,205.9199981689453
2016-04-13,207.0,208.0
2016-04-14,208.07000732421875,208.00999450683594
2016-04-15,208.00999450683594,207.77999877929688
2016-04-18,207.77999877929688,209.24000549316406
2016-04-19,209.74000549316406,209.89999389648438
2016-04-20,209.9499969482422,210.10000610351562
2016-04-21,210.1199951171875,208.97000122070312
2016-04-22,208.5500030517578,208.97000122070312
2016-04-25,208.25999450683594,208.61000061035156
2016-04-26,209.0399932861328,208.9199981689453
2016-04-27,208.47000122070312,209.35000610351562
2016-04-28,208.4600067138672,207.4499969482422
2016-04-29,206.72000122070312,206.3300018310547
2016-05-02,206.9199981689453,207.97000122070312
2016-05-03,206.52000427246094,206.16000366210938
2016-05-04,204.99000549316406,205.00999450683594
2016-05-05,205.55999755859375,204.97000122070312
2016-05-06,204.05999755859375,205.72000122070312
2016-05-09,205.57000732421875,205.88999938964844
2016-05-10,206.72000122070312,208.4499969482422
2016-05-11,207.91000366210938,206.5
2016-05-12,207.2899932861328,206.55999755859375
2016-05-13,206.2100067138672,204.75999450683594
2016-05-16,204.9600067138672,206.77999877929688
2016-05-17,206.4600067138672,204.85000610351562
2016-05-18,204.44000244140625,204.91000366210938
2016-05-19,204.05999755859375,204.1999969482422
2016-05-20,204.9199981689453,205.49000549316406
2016-05-23,205.50999450683594,205.2100067138672
2016-05-24,206.1699981689453,207.8699951171875
2016-05-25,208.6699981689453,209.27999877929688
2016-05-26,209.44000244140625,209.33999633789062
2016-05-27,209.52999877929688,210.24000549316406
2016-05-31,210.55999755859375,209.83999633789062
2016-06-01,209.1199951171875,210.27000427246094
2016-06-02,209.8000030517578,210.91000366210938
2016-06-03,210.25,210.27999877929688
2016-06-06,210.6999969482422,211.35000610351562
2016-06-07,211.52999877929688,211.67999267578125
2016-06-08,211.83999633789062,212.3699951171875
2016-06-09,211.50999450683594,212.0800018310547
2016-06-10,210.4600067138672,210.07000732421875
2016-06-13,209.36000061035156,208.4499969482422
2016-06-14,208.0,208.0399932861328
2016-06-15,208.0399932861328,207.75
